"channel_name","total_conversions","total_conversion_value"
"1",82.6528387362808,82.6528387362808
"20",431.994215767682,431.994215767682
"12",84.3740997441155,84.3740997441155
"14",63.5298051775658,63.5298051775658
"13",195.362536928143,195.362536928143
"3",123.037264238871,123.037264238871
"17",84.0010619489022,84.0010619489022
"6",62.9552682268278,62.9552682268278
"8",61.0154716917185,61.0154716917185
"10",209.163172967752,209.163172967752
"11",118.64716747725,118.64716747725
"16",158.617432907989,158.617432907989
"2",97.7241531239938,97.7241531239938
"4",223.128885575006,223.128885575006
"7",41.9288607208825,41.9288607208825
"5",82.5136104568075,82.5136104568075
"9",179.173871538075,179.173871538075
"15",70.5158925172143,70.5158925172143
"18",5.92454514130134,5.92454514130134
"19",15.7398451136229,15.7398451136229
